"Table Name","Column Name","Data Type","Not Null?","Constraints","Sample Value"
"roles","role_id","number","Yes","PRIMARY KEY","1"
"roles","name","varchar2","Yes","UNIQUE","System Administrator"
"employees","employee_id","number","Yes","PRIMARY KEY","1"
"employees","role_id","number","Yes","FOREIGN KEY","1"
"employees","first_name","varchar2","Yes","","Peter"
"employees","last_name","varchar2","Yes","","Dela Cruz"
"employees","hire_date","timestamp","Yes","DEFAULT CURRENT_TIMESTAMP","2026-04-01 08:00:00"
"employees","email","varchar2","No","UNIQUE","peter.delacruz@com"
"users","user_id","number","Yes","PRIMARY KEY","1"
"users","employee_id","number","Yes","UNIQUE, FOREIGN KEY","1"
"users","username","varchar2","Yes","UNIQUE","admin_peter"
"users","password_hash","varchar2","Yes","","$2a$12$N9qoLOickgx2ZMRZoMyeIjZAgcfl7p92ldGxad68LJZdL17lhWy"
"attendance","attendance_id","number","Yes","PRIMARY KEY","1"
"attendance","employee_id","number","Yes","FOREIGN KEY","1"
"attendance","work_date","date","Yes","","2026-04-02"
"attendance","time_in","timestamp","Yes","","2026-04-02 08:00:00"
"attendance","time_out","timestamp","No","","2026-04-02 17:00:00"
"attendance","status","varchar2","No","","On-Time"
"categories","category_id","number","Yes","PRIMARY KEY","1"
"categories","name","varchar2","Yes","UNIQUE","Living Room"
"item_types","type_id","number","Yes","PRIMARY KEY","1"
"item_types","category_id","number","Yes","FOREIGN KEY","1"
"item_types","name","varchar2","Yes","UNIQUE","TV Stand"
"items","item_id","number","Yes","PRIMARY KEY","1"
"items","item_code","varchar2","Yes","UNIQUE","SD-SHIBA-TVS"
"items","type_id","number","Yes","FOREIGN KEY","1"
"items","item_name","varchar2","Yes","UNIQUE","Songdream Shiba Tv Stand"
"items","dimension","varchar2","No","","14 x 14 x 29.25 inch"
"items","srp","number","Yes","","30800"
"item_attributes","attribute_id","number","Yes","PRIMARY KEY","1"
"item_attributes","item_id","number","Yes","FOREIGN KEY","1"
"item_attributes","material","varchar2","No","","Wood"
"item_attributes","fabric_color","varchar2","No","","Beige"
"item_attributes","leg_color","varchar2","No","","Black"
"suppliers","supplier_id","number","Yes","PRIMARY KEY","1"
"suppliers","name","varchar2","Yes","","Songdream Manufacturing HQ"
"suppliers","contact_no","varchar2","No","","09171234567"
"suppliers","email","varchar2","No","","b2b@songdream.com"
"suppliers","address","varchar2","No","","Makati City"
"suppliers","supplier_code","varchar2","No","UNIQUE","SUP-SD-01"
"locations","location_id","number","Yes","PRIMARY KEY","1"
"locations","name","varchar2","Yes","","Warehouse"
"locations","type","varchar2","Yes","","Warehouse"
"locations","street","varchar2","No","","Main St"
"locations","barangay","varchar2","No","","Brgy 1"
"locations","city","varchar2","No","","Antipolo City"
"locations","location_code","varchar2","No","UNIQUE","LOC-WHS-01"
"locations","is_default","char(1)","No","DEFAULT 'N'","Y"
"inventory","inventory_id","number","Yes","PRIMARY KEY","1"
"inventory","item_id","number","Yes","FOREIGN KEY","1"
"inventory","location_id","number","Yes","FOREIGN KEY","1"
"inventory","qty_on_hand","number","Yes","DEFAULT 0","80"
"inventory","min_threshold","number","Yes","DEFAULT 0","10"
"purchase_orders","po_id","number","Yes","PRIMARY KEY","1"
"purchase_orders","po_number","varchar2","No","UNIQUE","PO-2026-001"
"purchase_orders","supplier_id","number","Yes","FOREIGN KEY","1"
"purchase_orders","requested_by","number","Yes","FOREIGN KEY","4"
"purchase_orders","order_date","date","Yes","","2026-04-01"
"purchase_orders","status","varchar2","No","DEFAULT 'Pending'","Approved"
"purchase_orders","total_po_amount","number","No","DEFAULT 0","1111600"
"purchase_orders","currency","varchar2","No","DEFAULT 'PHP'","PHP"
"purchase_orders","location_id","number","Yes","FOREIGN KEY","1"
"purchase_orders","approved_by","number","No","FOREIGN KEY","1"
"purchase_orders","approval_date","timestamp","No","","2026-04-01 10:30:00"
"purchase_orders","payment_terms","varchar2","No","","Net 30"
"purchase_orders","due_date","date","No","","2026-04-30"
"purchase_order_lines","po_line_id","number","Yes","PRIMARY KEY","1"
"purchase_order_lines","po_id","number","Yes","FOREIGN KEY","1"
"purchase_order_lines","item_id","number","Yes","FOREIGN KEY","1"
"purchase_order_lines","suggested_qty","number","Yes","","50"
"purchase_order_lines","unit_cost","number","Yes","","15400"
"purchase_order_lines","line_total","number","Yes","","770000"
"purchase_order_lines","qty_received","number","No","DEFAULT 0","50"
"purchases","purchase_id","number","Yes","PRIMARY KEY","1"
"purchases","po_id","number","Yes","FOREIGN KEY","1"
"purchases","received_by","number","Yes","FOREIGN KEY","4"
"purchases","received_date","timestamp","Yes","","2026-04-12 10:00:00"
"purchases","status","varchar2","No","","Full Delivery"
"po_tracking","tracking_id","number","Yes","PRIMARY KEY","1"
"po_tracking","po_id","number","Yes","FOREIGN KEY","1"
"po_tracking","milestone","varchar2","Yes","","Order Confirmed"
"po_tracking","location","varchar2","No","","Songdream HQ"
"po_tracking","update_time","timestamp","Yes","","2026-04-01 11:00:00"
"po_tracking","logged_by","number","Yes","FOREIGN KEY","1"
"customers","customer_id","number","Yes","PRIMARY KEY","1"
"customers","name","varchar2","Yes","","Ayala Land Inc."
